Timestamp_CAL,PPG_A13_CAL,Temperature_BMP280_CAL,GSR_Skin_Resistance_CAL,GSR_Skin_Conductance_CAL,Pressure_BMP280_CAL,Accel_LN_mag,Mag_mag,Gyro_mag,cumAccel,cumMag,cumGyro,sincelastDrinking
2021-04-08 10:00:00,104.63540933339593,35.2954998910291,13601.48024191291,0.07352487523323423,100.98518877714332,9.446112341703014,1.0075756403329663,3.2840250091303105,-90.2581882235088,32.857880338836715,1875.916562400562,6.166666666666667
2021-04-08 10:01:00,161.67391636141636,35.417904894491855,13438.67421834304,0.07449046902171906,100.98352780730478,10.720304304512005,0.9580376739450455,20.096583964698613,3745.1455595218767,-90.59466056498276,55164.23704786621,6.183333333333334
2021-04-08 10:02:00,227.60869772588524,35.64252867555178,12981.221565964208,0.07705445596070601,100.98176540494056,11.672134411236456,0.6377168564233824,7.183864361863022,6669.167647379387,-1074.6202119915317,15496.362427955384,6.2
2021-04-08 10:03:00,277.2676759004884,35.826052133182124,11923.544012571825,0.08397620897620901,100.97935343983006,11.709388615130884,0.8896072973179328,5.811922369526827,6783.612561743066,-300.81277756347316,11281.756627498538,6.216666666666667
2021-04-08 10:04:00,300.77862675518935,35.958474041705784,11149.240102404341,0.08982597263847268,100.97849780244813,11.876602868734338,1.0987204968115278,7.47780380375788,7297.2947488128775,341.5829712808514,16399.34439345627,6.233333333333333
2021-04-08 10:05:00,307.6443738553113,36.07902634663774,10533.987062016113,0.09493443477818475,100.97848383880978,12.028995901277446,1.0939765841851805,2.6048171956694075,7765.4461447853055,327.0096716927122,1429.529533408486,6.25
2021-04-08 10:06:00,309.37476152319897,36.20144116971059,10132.667456463441,0.09871898934398939,100.97853006322657,12.044589918914658,1.091961813545268,2.6482834821228747,7813.35096696682,320.8202962869008,1563.0579653935383,6.266666666666667
2021-04-08 10:07:00,309.77921817765576,36.298724971975965,9258.96361258675,0.10825965122840116,100.97557368903847,12.045014610914533,1.092880924254928,2.146299961623989,7814.6556207904405,323.6438043869759,20.964590420958544,6.283333333333333
2021-04-08 10:08:00,309.74917010073267,36.39048008595231,9356.393670346446,0.10734823625448621,100.9753974226196,11.20730874134666,1.0505365953360355,24.14446472278165,5241.223189477936,193.56202594813809,67599.32673669727,6.3
2021-04-08 10:09:00,309.8157051282052,36.51606023515361,5936.155171370702,0.22394272394272394,100.97717282996537,10.042905258423506,0.7931418307143111,8.493496628023136,1664.1756899380036,-597.1546909697988,19519.552749599152,6.316666666666666
2021-04-08 10:10:00,308.96243513431006,36.6699707136681,2785.047398812651,0.37889902343027343,100.97891310325274,10.974209107029816,0.7590683756628632,9.772954344289245,4525.141112856594,-701.8283448878467,23450.046853968637,6.333333333333333
2021-04-08 10:11:00,307.85518734737485,36.83169334793036,4875.884666423856,0.213078299015799,100.97618084223363,11.145208650567882,0.7477179729788969,4.681259400299992,5050.451710605526,-736.6967819329914,7808.359986033677,6.35
2021-04-08 10:12:00,307.3768028846154,36.97775205186226,5949.107239359091,0.16812166421541422,100.97753668652649,11.169761819634628,0.7558106826881007,6.992751792881317,5125.879045978568,-711.8359777063172,14909.264616043532,6.366666666666666
2021-04-08 10:13:00,307.2117769383395,37.14097520264789,5833.865937688251,0.17150832385207385,100.97428156104559,11.264891197050126,0.7620170748480635,10.596986952751063,5418.1164933989785,-692.7699409909118,25981.475027163335,6.383333333333334
2021-04-08 10:14:00,307.02171092796095,37.35086314595625,5883.599367615636,0.17003294737669739,100.97341545528839,11.212930852811668,0.7843199588245274,4.247133771062997,5258.494315898442,-624.2554814152143,6474.726053017613,6.4
2021-04-08 10:15:00,306.9921292505087,37.63254191552819,5767.329981138765,0.17358806359782605,100.97061831893211,11.36028162594416,0.7716333962767761,5.759038703007918,5713.014991186371,-663.4444962889771,11122.917567104763,6.416666666666667
2021-04-08 10:16:00,307.0035866910867,37.849339509610154,5644.435543107188,0.17728856791356792,100.96784743363865,11.289784895995098,0.7982205842595872,8.91882695938682,5494.5899365579335,-581.5527600787108,20826.167527548445,6.433333333333334
2021-04-08 10:17:00,307.0386427808303,37.96995598599185,6055.089501826394,0.1652212081899582,100.9655566218786,11.07358316044281,0.8167832452716803,8.941667523236267,4830.418204941305,-524.5282654495608,20896.33373969388,6.45
2021-04-08 10:18:00,307.1020776098901,38.1404008527036,6367.6857784464855,0.15709666490916488,100.96524848427363,11.14806728391625,0.8139935634752534,3.5479085944196007,5059.233432251712,-533.0981679281841,4326.706310369089,6.466666666666667
2021-04-08 10:19:00,307.1843521062271,38.33609270502218,6314.6737238223395,0.15854660385910385,100.96353045827293,11.261651435418507,0.8370413102631274,10.400528903699536,5408.163945666647,-462.2954897958351,25377.955900477053,6.483333333333333
2021-04-08 10:20:00,307.37608745421244,38.38810542982711,5675.093421707122,0.17627540283790286,100.96198215899285,11.414545009536832,0.7779669235323988,4.905504236498879,5877.853005358144,-643.7720058326335,8497.240122836587,6.5
2021-04-08 10:21:00,307.6796684218559,38.43926385960896,5545.3474823692295,0.1803610162985163,100.96266633853871,11.389850421837926,0.7864672198348285,5.16227685020947,5801.991231947098,-617.6590955915698,9286.045592155568,6.516666666666667
2021-04-08 10:22:00,307.85280257936506,38.500455960009475,5389.999192870707,0.18583803349428352,100.96389024065358,10.882360452291971,1.050140952890713,12.07317137936748,4242.982045501931,192.34661235610827,30516.31358572898,6.533333333333333
2021-04-08 10:23:00,308.1182272588523,38.458403981056335,4935.8664393521385,0.20276352698227695,100.9618820011979,11.138375542778371,0.8143218526178226,4.5329535768293425,5029.460403476153,-532.0896636822114,7352.764496331801,6.55
